make_model,make,location,price,body_type,type,warranty,mileage,gearbox,fuel_type,seller,engine_size,gears,co_emissions,drivetrain,extras,empty_weight,full_service_history,upholstery,previous_owner,energy_efficiency_class,age,power_kW,cons_avg,comfort_&_convenience_Package,entertainment_&_media_Package,safety_&_security_Package
Mercedes-Benz C 200,Mercedes-Benz,"Franklin Rooseveltlaan 165,  8790 Waregem, BE",39900.0,Convertible,Used,Yes,32287.0,Automatic,Diesel,Dealer,1597.0,7.0,122.0,Rear,"Alloy wheels (17""), Automatically dimming interior mirror, Shift paddles, Summer tyres, Voice Control",1710.0,Yes,Part/Full Leather,1.0,efficient,1.0,118.0,4.6,Premium,Standard,Safety Premium Package
Mercedes-Benz E 250,Mercedes-Benz,"Radeberger Straße 1,  68309 Mannheim, DE",29849.0,Convertible,Used,Yes,43400.0,Automatic,Benzine,Dealer,1796.0,7.0,157.0,Rear,"All season tyres, Alloy wheels, Automatically dimming interior mirror, Cargo barrier, Catalytic Converter, Emergency tyre repair kit, Headlight washer system, Shift paddles, Sport package, Sport seats, Sport suspension, Voice Control, Winter package",1725.0,Yes,Part/Full Leather,1.0,unefficient,9.0,150.0,6.7,Standard,Standard,Safety Premium Package
Mercedes-Benz SLK 200,Mercedes-Benz,"Kaiserin-Augusta-Allee 16,  10553 Berlin, DE",19900.0,Convertible,Used,No,35552.0,Automatic,Benzine,Dealer,1796.0,7.0,192.0,Rear,"Alloy wheels (16""), Ambient lighting, Automatically dimming interior mirror, Sport seats",1415.0,Yes,Part/Full Leather,2.0,unefficient,12.0,135.0,11.6,Standard,Standard,Safety Premium Package
Mercedes-Benz C 63 AMG,Mercedes-Benz,"Meckenheimer Straße 12,  53359 Rheinbach, DE",104880.0,Convertible,Used,Yes,3094.0,Automatic,Benzine,Dealer,3982.0,7.0,255.0,Rear,"Alloy wheels, Ambient lighting, Automatically dimming interior mirror, Shift paddles",1940.0,No,Part/Full Leather,1.0,unefficient,0.0,375.0,11.1,Standard,Plus,Safety Premium Package
Mercedes-Benz E 300,Mercedes-Benz,"Genter Str. 69,  13353 Berlin, DE",41199.0,Convertible,Used,No,98328.0,Automatic,Benzine,Dealer,1991.0,7.0,154.0,Rear,"Alloy wheels, Automatically dimming interior mirror, Cargo barrier, E10-enabled, Shift paddles, Sport package, Sport seats, Summer tyres, Trailer hitch, Voice Control",1855.0,Yes,Part/Full Leather,1.0,efficient,4.0,180.0,6.8,Premium,Standard,Safety Premium Package
Mercedes-Benz E 350,Mercedes-Benz,"CARRETERA PALMA DEL RIO KM 8,  14005 CORDOBA, ES",24900.0,Convertible,Used,Yes,99800.0,Automatic,Diesel,Dealer,2987.0,7.0,162.0,Rear,Alloy wheels,1845.0,No,Part/Full Leather,2.0,unefficient,10.0,195.0,6.0,Standard,Standard,Safety Premium Plus Package
Mercedes-Benz E 300,Mercedes-Benz,"Kaiserin-Augusta-Allee 16,  10553 Berlin, DE",26900.0,Convertible,Used,No,79477.0,Automatic,Benzine,Dealer,3498.0,7.0,169.0,Rear,"Automatically dimming interior mirror, Headlight washer system, Sport seats, Sport suspension",1785.0,Yes,Part/Full Leather,2.0,efficient,10.0,185.0,7.2,Standard,Standard,Safety Premium Package
Mercedes-Benz E 200,Mercedes-Benz,"Arenberger Str. 54,  56077 Koblenz, DE",46990.0,Convertible,Used,No,16000.0,Automatic,Benzine,Dealer,1991.0,7.0,148.0,Rear,"Alloy wheels, Ambient lighting, Automatically dimming interior mirror, Cargo barrier, E10-enabled, Headlight washer system, Shift paddles, Sport package, Sport seats, Sport suspension, Touch screen, Voice Control",1685.0,Yes,Part/Full Leather,1.0,efficient,2.0,145.0,6.5,Premium,Plus,Safety Premium Package
Mercedes-Benz E 250,Mercedes-Benz,"Austr. 92,  74076 Heilbronn, DE",22990.0,Convertible,Used,Yes,97149.0,Automatic,Benzine,Dealer,1796.0,7.0,166.0,Front,"Alloy wheels, Automatically dimming interior mirror, Headlight washer system, Shift paddles, Ski bag",1725.0,Yes,Part/Full Leather,1.0,unefficient,9.0,150.0,7.0,Standard,Standard,Safety Premium Package
Mercedes-Benz E 200,Mercedes-Benz,"Triftweg 34,  06847 Dessau, DE",23999.0,Convertible,Used,No,78000.0,Automatic,Benzine,Dealer,1991.0,7.0,151.0,Rear,"Alloy wheels, Catalytic Converter, Shift paddles",1685.0,Yes,Part/Full Leather,2.0,efficient,8.0,135.0,6.4,Premium,Standard,Safety Premium Package
Mercedes-Benz SLK 200,Mercedes-Benz,"Bergisch-Gladbacher-Str. 425,  51067 Köln, DE",10890.0,Convertible,Used,No,123000.0,Manual,Benzine,Dealer,1796.0,6.0,218.0,Rear,"All season tyres, Alloy wheels, Sport seats",1435.0,Yes,Part/Full Leather,3.0,unefficient,16.0,120.0,9.1,Standard,Standard,Safety Premium Plus Package
Mercedes-Benz C 43 AMG,Mercedes-Benz,"Wörth 17,  94034 Passau, DE",79840.0,Convertible,Demonstration,Yes,3500.0,Automatic,Benzine,Dealer,2996.0,7.0,195.0,4WD,"Alloy wheels, Ambient lighting, Automatically dimming interior mirror, Cargo barrier, Shift paddles, Sport package, Sport suspension, Voice Control",1885.0,Yes,Part/Full Leather,1.0,unefficient,0.0,287.0,8.7,Premium,Plus,Safety Premium Package
Mercedes-Benz SLC 180,Mercedes-Benz,"Hansestraße 50,  51149 Köln, DE",33890.0,Convertible,Used,No,23500.0,Manual,Benzine,Dealer,1595.0,6.0,127.0,Rear,"Alloy wheels, Catalytic Converter, Sport seats",1435.0,No,Part/Full Leather,2.0,efficient,4.0,115.0,5.6,Premium,Standard,Safety Premium Package
Mercedes-Benz C 63 AMG,Mercedes-Benz,"Helsinkistraße 1,  97424 Schweinfurt, DE",87500.0,Convertible,Demonstration,Yes,8000.0,Automatic,Benzine,Dealer,3982.0,7.0,258.0,Rear,"Alloy wheels (20""), Ambient lighting, Automatically dimming interior mirror, E10-enabled, Shift paddles, Spoiler, Sport package, Sport seats, Sport suspension, Summer tyres, Voice Control, Winter package",1925.0,Yes,Part/Full Leather,1.0,unefficient,1.0,350.0,11.1,Premium,Plus,Safety Premium Package
Mercedes-Benz E 200,Mercedes-Benz,"Karl-Marx-Straße 177,  12529 Schönefeld OT/Großziehten, DE",46480.0,Convertible,Used,No,61926.0,Automatic,Benzine,Dealer,1991.0,7.0,157.0,Rear,"Alloy wheels (19""), Automatically dimming interior mirror, Cargo barrier, Catalytic Converter, E10-enabled, Electronic parking brake, Emergency tyre, Emergency tyre repair kit, Shift paddles, Spare tyre, Sport package, Sport seats, Summer tyres, Touch screen, Voice Control",1755.0,Yes,Part/Full Leather,1.0,efficient,3.0,135.0,6.9,Premium,Standard,Safety Premium Package
Mercedes-Benz C 43 AMG,Mercedes-Benz,"Altendorfer Straße 44 C,  45127 Essen, DE",77470.0,Convertible,Demonstration,Yes,9500.0,Automatic,Benzine,Dealer,2966.0,7.0,230.0,4WD,"Alloy wheels, Ambient lighting, Automatically dimming interior mirror, Cargo barrier, Shift paddles, Sport package, Sport seats, Sport suspension, Touch screen, Voice Control",1885.0,Yes,Part/Full Leather,1.0,unefficient,0.0,287.0,10.0,Standard,Plus,Safety Premium Package
Mercedes-Benz C 180,Mercedes-Benz,"Rotthauser Str. 10,  45309 Essen, DE",33835.0,Convertible,Used,Yes,48243.0,Automatic,Benzine,Dealer,1595.0,6.0,140.0,Rear,"Alloy wheels, Automatically dimming interior mirror, Cargo barrier, Electronic parking brake, Emergency tyre repair kit, Summer tyres, Voice Control",1615.0,Yes,Part/Full Leather,2.0,efficient,4.0,115.0,6.2,Premium,Standard,Safety Premium Package
Mercedes-Benz C 63 AMG,Mercedes-Benz,"Eickelstraße 8 - 10,  59759 Arnsberg, DE",108290.0,Convertible,Employee's car,No,16821.0,Automatic,Benzine,Dealer,3982.0,7.0,255.0,Rear,"Alloy wheels, Catalytic Converter, Shift paddles, Sport package, Sport seats, Sport suspension, Tuned car, Voice Control",1940.0,Yes,Part/Full Leather,1.0,unefficient,0.0,375.0,11.1,Standard,Plus,Safety Premium Package
Mercedes-Benz SL 350,Mercedes-Benz,"Alte Kaserne 1,  47249 Duisburg, DE",17999.0,Convertible,Used,No,114825.0,Automatic,Benzine,Dealer,3724.0,5.0,281.0,Rear,"Alloy wheels, Headlight washer system, Shift paddles, Smoker's package, Spare tyre, Summer tyres, Winter package",1770.0,Yes,Part/Full Leather,2.0,unefficient,16.0,180.0,11.7,Standard,Standard,Safety Premium Package
Mercedes-Benz C 220,Mercedes-Benz,"Am Flughafen 1/3/5,  12529 Schönefeld, DE",34880.0,Convertible,Used,No,73370.0,Automatic,Diesel,Dealer,2143.0,8.0,130.0,4WD,"Alloy wheels (18""), Automatically dimming interior mirror, Emergency tyre repair kit, Shift paddles, Sport package, Sport seats, Sport suspension, Touch screen, Voice Control",1805.0,Yes,Part/Full Leather,1.0,efficient,4.0,125.0,5.0,Premium,Standard,Safety Premium Package
Mercedes-Benz C 63 AMG,Mercedes-Benz,"Rodezstr. 2,  96052 Bamberg, DE",107289.0,Convertible,Demonstration,Yes,6354.0,Automatic,Benzine,Dealer,3982.0,7.0,255.0,Rear,"Alloy wheels, Ambient lighting, Automatically dimming interior mirror, E10-enabled, Emergency tyre repair kit, Shift paddles, Sport seats, Sport suspension, Summer tyres, Voice Control",1940.0,Yes,Part/Full Leather,1.0,unefficient,0.0,375.0,11.1,Standard,Plus,Safety Premium Package
Mercedes-Benz C 200,Mercedes-Benz,"Eickelstraße 8 - 10,  59759 Arnsberg, DE",36290.0,Convertible,Used,No,62400.0,Automatic,Benzine,Dealer,1991.0,7.0,138.0,Rear,"Alloy wheels, Catalytic Converter, Shift paddles, Sport package, Sport seats, Sport suspension",1710.0,Yes,Part/Full Leather,1.0,efficient,4.0,135.0,6.1,Standard,Standard,Safety Premium Package
Mercedes-Benz E 200,Mercedes-Benz,"Meersburger Str. 2,  88690 Uhldingen-Mühlhofen, DE",24300.0,Convertible,Used,Yes,62948.0,Manual,Benzine,Dealer,1991.0,6.0,150.0,Rear,"Alloy wheels (17""), E10-enabled, Emergency tyre repair kit",1715.0,Yes,Part/Full Leather,2.0,efficient,8.0,135.0,6.4,Premium,Standard,Safety Premium Package
Mercedes-Benz C 63 AMG,Mercedes-Benz,"Bayerische Allee 1,  50858 Köln-Marsdorf, DE",81890.0,Convertible,Used,No,29861.0,Automatic,Benzine,Dealer,3982.0,7.0,230.0,Rear,"Alloy wheels, Ambient lighting, Automatically dimming interior mirror, Shift paddles, Sport package, Sport seats, Sport suspension, Summer tyres, Voice Control",1940.0,Yes,Part/Full Leather,2.0,unefficient,3.0,375.0,10.1,Standard,Plus,Safety Premium Package
Mercedes-Benz C 220,Mercedes-Benz,"Heppenheimer Strasse 31-33a,  68309 Mannheim, DE",36990.0,Convertible,Used,No,85000.0,Automatic,Diesel,Dealer,2143.0,8.0,116.0,Front,"Alloy wheels, Ambient lighting, Shift paddles, Sport package, Sport suspension, Summer tyres, Touch screen",1730.0,Yes,Part/Full Leather,1.0,efficient,5.0,125.0,4.5,Standard,Standard,Safety Premium Package
Mercedes-Benz SL 63 AMG,Mercedes-Benz,"Adolf-Richter-Str. 13-15,  75179 Pforzheim, DE",207113.0,Convertible,Demonstration,Yes,10000.0,Automatic,Benzine,Dealer,3982.0,7.0,293.0,4WD,"Alloy wheels (21""), Shift paddles, Sport package, Sport seats, Touch screen, Voice Control",1970.0,Yes,Part/Full Leather,1.0,unefficient,0.0,430.0,13.9,Premium Plus,Plus,Safety Premium Package
Mercedes-Benz E 53 AMG,Mercedes-Benz,"Eickelstraße 8 - 10,  59759 Arnsberg, DE",107290.0,Convertible,Used,No,39757.0,Automatic,Benzine,Dealer,2999.0,8.0,201.0,4WD,"Alloy wheels, Catalytic Converter, Shift paddles, Sport package, Sport seats, Sport suspension, Tuned car, Voice Control",1980.0,Yes,Part/Full Leather,1.0,unefficient,1.0,320.0,8.8,Premium,Plus,Safety Premium Package
Mercedes-Benz SLK,Mercedes-Benz,"PRIMAUTZAR KALEA, 46.,  20305 IRUN, ES",12990.0,Convertible,Used,No,173000.0,Manual,Benzine,Dealer,1796.0,6.0,188.0,Front,"Alloy wheels, Automatically dimming interior mirror, Catalytic Converter, E10-enabled, Emergency tyre, Emergency tyre repair kit, Headlight washer system, Spare tyre, Sport seats, Summer tyres",1390.0,No,Part/Full Leather,2.0,unefficient,17.0,120.0,8.7,Standard,Standard,Safety Premium Package
Mercedes-Benz E 200,Mercedes-Benz,"Chauvignystr. 18,  65366 Geisenheim, DE",32490.0,Convertible,Used,No,53650.0,Automatic,Benzine,Dealer,1991.0,7.0,150.0,Rear,"Alloy wheels (18""), E10-enabled, Sport package, Sport suspension, Voice Control",1715.0,Yes,Part/Full Leather,2.0,efficient,6.0,135.0,6.4,Premium,Standard,Safety Premium Package
Mercedes-Benz E 220,Mercedes-Benz,"CALLE ALGORFA, Nº16,  03203 ELCHE, ES",22999.0,Convertible,Used,Yes,109000.0,Automatic,Diesel,Dealer,2143.0,7.0,133.0,Rear,Alloy wheels,1785.0,No,Part/Full Leather,2.0,efficient,10.0,125.0,5.3,Standard,Standard,Safety Premium Plus Package
Mercedes-Benz SLC 200,Mercedes-Benz,"Wormser Landstraße 194,  67346 Speyer, DE",46880.0,Convertible,Used,Yes,19000.0,Manual,Benzine,Dealer,1991.0,6.0,161.0,Rear,"Alloy wheels, Automatically dimming interior mirror, E10-enabled, Emergency tyre repair kit, Sport package, Sport seats, Sport suspension, Summer tyres",1465.0,Yes,Part/Full Leather,1.0,unefficient,2.0,135.0,7.0,Premium,Standard,Safety Premium Package
Mercedes-Benz SLK 200,Mercedes-Benz,"Marienborner Str.  49,  55128 Mainz, DE",15990.0,Convertible,Used,No,39000.0,Automatic,Benzine,Dealer,1998.0,7.0,235.0,Rear,"Alloy wheels, Sport seats",1435.0,No,Part/Full Leather,1.0,unefficient,19.0,120.0,9.6,Standard,Standard,Safety Premium Plus Package
Mercedes-Benz SLK 200,Mercedes-Benz,"Marienborner Str.  49,  55128 Mainz, DE",15990.0,Convertible,Used,No,39000.0,Automatic,Benzine,Dealer,1998.0,7.0,235.0,Rear,"Alloy wheels, Sport seats",1435.0,No,Part/Full Leather,1.0,unefficient,19.0,120.0,9.6,Standard,Standard,Safety Premium Plus Package
Mercedes-Benz E 250,Mercedes-Benz,"Av. Laboral, 10,  28021 MADRID, ES",24290.0,Convertible,Used,Yes,48160.0,Automatic,Benzine,Dealer,1796.0,7.0,166.0,Front,Alloy wheels,1725.0,No,Part/Full Leather,1.0,unefficient,9.0,150.0,6.7,Standard,Standard,Safety Standard Package
Mercedes-Benz C 63 AMG,Mercedes-Benz,"Dieselstr. 3,  85386 Eching, DE",76880.0,Convertible,Used,No,66884.0,Automatic,Benzine,Dealer,3982.0,7.0,246.0,Rear,"Alloy wheels, Ambient lighting, Automatically dimming interior mirror, Shift paddles, Sport package, Sport seats, Sport suspension, Touch screen, Voice Control",1940.0,No,Part/Full Leather,1.0,unefficient,3.0,350.0,10.4,Premium,Plus,Safety Premium Package
Mercedes-Benz E 250,Mercedes-Benz,"Friedrich-Ebert-Str. 23,  41352 Korschenbroich, DE",21800.0,Convertible,Used,No,129000.0,Automatic,Benzine,Dealer,1796.0,7.0,166.0,Front,"Alloy wheels, Emergency tyre repair kit, Headlight washer system, Shift paddles, Sport package, Sport seats, Sport suspension, Summer tyres, Voice Control",1725.0,Yes,Part/Full Leather,2.0,efficient,10.0,150.0,7.0,Premium,Standard,Safety Premium Package
Mercedes-Benz C 300,Mercedes-Benz,"Im Steinkampe 16,  38110 Braunschweig, DE",47400.0,Convertible,Used,No,26000.0,Automatic,Benzine,Dealer,1991.0,7.0,144.0,Rear,"Alloy wheels, Automatically dimming interior mirror, Shift paddles, Sport package, Sport seats, Voice Control, Winter package",1735.0,No,Part/Full Leather,1.0,efficient,2.0,190.0,6.3,Premium,Standard,Safety Premium Package
Mercedes-Benz E 300,Mercedes-Benz,"Wilsumer Str. 8,  49847 Itterbeck, DE",73900.0,Convertible,Used,Yes,6000.0,Automatic,Benzine,Dealer,1991.0,7.0,165.0,Rear,"Alloy wheels, Ambient lighting, Automatically dimming interior mirror, Emergency tyre repair kit, Shift paddles, Sport package, Touch screen, Voice Control",1855.0,Yes,Part/Full Leather,1.0,unefficient,1.0,190.0,7.0,Standard,Plus,Safety Premium Package
Mercedes-Benz C 63 AMG,Mercedes-Benz,"St.-Georgener-Straße 1,  79111 Freiburg, DE",81890.0,Convertible,Used,No,16889.0,Automatic,Benzine,Dealer,3982.0,7.0,236.0,Rear,"Alloy wheels (19""), Ambient lighting, Automatically dimming interior mirror, Catalytic Converter, E10-enabled, Emergency tyre repair kit, Shift paddles, Sport package, Voice Control",1925.0,Yes,Part/Full Leather,1.0,unefficient,3.0,350.0,10.4,Premium,Plus,Safety Premium Package
Mercedes-Benz SLK 200,Mercedes-Benz,"Heidelberger Str. 30,  68519 Viernheim, DE",12490.0,Convertible,Used,No,83000.0,Manual,Benzine,Dealer,1796.0,6.0,209.0,Rear,"Alloy wheels, Emergency tyre repair kit, Sport seats",1435.0,No,Part/Full Leather,2.0,unefficient,15.0,120.0,8.7,Standard,Standard,Safety Premium Package
Mercedes-Benz E 200,Mercedes-Benz,"Schlagbreite 39a,  06842 Dessau, DE",20499.0,Convertible,Used,No,40000.0,Manual,Benzine,Dealer,1796.0,6.0,177.0,Rear,"Alloy wheels (17""), Automatically dimming interior mirror, Catalytic Converter, Emergency tyre repair kit, Sport seats, Winter tyres",1685.0,Yes,Part/Full Leather,3.0,efficient,9.0,135.0,7.6,Premium,Standard,Safety Premium Package
Mercedes-Benz C 180,Mercedes-Benz,"Bornhardtstraße 1,  38644 Goslar, DE",39480.0,Convertible,Used,No,19798.0,Automatic,Benzine,Dealer,1595.0,6.0,149.0,Rear,"Alloy wheels, Catalytic Converter, Shift paddles, Sport package, Sport seats, Sport suspension, Tuned car",1590.0,Yes,Part/Full Leather,2.0,unefficient,3.0,115.0,6.5,Standard,Standard,Safety Premium Package
Mercedes-Benz C 400,Mercedes-Benz,"Hans-Schardt-Straße 2,  66822 Lebach, DE",66888.0,Convertible,Used,Yes,25960.0,Automatic,Benzine,Dealer,2996.0,7.0,196.0,4WD,"Alloy wheels (19""), Ambient lighting, Automatically dimming interior mirror, Cargo barrier, E10-enabled, Shift paddles, Sport package, Sport seats, Sport suspension, Summer tyres, Voice Control",1825.0,Yes,Part/Full Leather,1.0,unefficient,1.0,245.0,8.6,Standard,Plus,Safety Premium Package
Mercedes-Benz C 43 AMG,Mercedes-Benz,"Meckenheimer Straße 12,  53359 Rheinbach, DE",77880.0,Convertible,Used,Yes,3021.0,Automatic,Benzine,Dealer,2996.0,7.0,230.0,4WD,"Alloy wheels, Ambient lighting, Automatically dimming interior mirror, Shift paddles, Sport suspension",1885.0,No,Part/Full Leather,1.0,unefficient,0.0,270.0,10.0,Standard,Plus,Safety Premium Package
Mercedes-Benz E 300,Mercedes-Benz,"Frankfurter Straße 49,  38122 Braunschweig, DE",75880.0,Convertible,Used,No,22900.0,Automatic,Diesel,Dealer,1993.0,7.0,172.0,4WD,"Alloy wheels, Shift paddles, Sport package, Sport seats, Sport suspension, Tuned car, Voice Control",2045.0,Yes,Part/Full Leather,2.0,efficient,1.0,210.0,6.0,Standard,Plus,Safety Premium Package
Mercedes-Benz C 220,Mercedes-Benz,"Ctra. Granollers-Masnou, Km 15,5,  8400 Granollers, ES",41900.0,Convertible,Used,Yes,40400.0,Automatic,Diesel,Dealer,2143.0,8.0,128.0,4WD,"All season tyres, Alloy wheels, Automatically dimming interior mirror, Shift paddles, Sport package, Touch screen, Trailer hitch, Voice Control",1730.0,No,Part/Full Leather,1.0,efficient,4.0,125.0,4.0,Premium,Standard,Safety Premium Package
Mercedes-Benz C 180,Mercedes-Benz,"Dieselstr. 1,  84069 Schierling, DE",35399.0,Convertible,Used,Yes,42500.0,Manual,Benzine,Dealer,1595.0,6.0,156.0,Rear,"Alloy wheels, Automatically dimming interior mirror, Cargo barrier, Sport package, Sport seats, Sport suspension, Voice Control",1650.0,No,Part/Full Leather,2.0,unefficient,3.0,115.0,6.9,Standard,Plus,Safety Premium Package
Mercedes-Benz C 180,Mercedes-Benz,"Topsloh 2 - 6,  49124 Georgsmarienhütte, DE",35930.0,Convertible,Used,No,43447.0,Automatic,Benzine,Dealer,1595.0,6.0,142.0,Rear,"Alloy wheels, Ambient lighting, Shift paddles, Sport package, Sport suspension",1600.0,Yes,Part/Full Leather,2.0,efficient,4.0,115.0,6.0,Standard,Standard,Safety Premium Package
Mercedes-Benz C 63 AMG,Mercedes-Benz,"Dieselstr. 1,  84069 Schierling, DE",79899.0,Convertible,Used,Yes,19700.0,Automatic,Benzine,Dealer,3982.0,7.0,236.0,Rear,"Alloy wheels, Ambient lighting, Automatically dimming interior mirror, Shift paddles, Sport package, Sport seats, Sport suspension, Voice Control",1925.0,No,Part/Full Leather,2.0,unefficient,3.0,350.0,10.4,Standard,Plus,Safety Premium Package
Mercedes-Benz SLK 200,Mercedes-Benz,"Roßlauer Str. 102,  06861 Dessau-Roßlau, DE",22470.0,Convertible,Used,No,101000.0,Manual,Benzine,Dealer,1796.0,6.0,149.0,Rear,"Alloy wheels, Automatically dimming interior mirror, Emergency tyre repair kit, Sport seats, Summer tyres, Voice Control, Winter tyres",1435.0,Yes,Part/Full Leather,2.0,unefficient,8.0,135.0,6.4,Premium,Standard,Safety Premium Package
Mercedes-Benz SLK 200,Mercedes-Benz,"Marienborner Str.  49,  55128 Mainz, DE",12990.0,Convertible,Used,No,59000.0,Automatic,Benzine,Dealer,1998.0,7.0,235.0,Rear,"Alloy wheels, Sport seats",1435.0,Yes,Part/Full Leather,1.0,unefficient,18.0,120.0,9.6,Standard,Standard,Safety Premium Plus Package
Mercedes-Benz SLC 200,Mercedes-Benz,"Landshuter Str. 1,  94315 Straubing, DE",36860.0,Convertible,Used,Yes,71688.0,Automatic,Benzine,Dealer,1991.0,6.0,142.0,Rear,"Alloy wheels, Automatically dimming interior mirror, Shift paddles, Voice Control",1480.0,Yes,Part/Full Leather,2.0,unefficient,2.0,135.0,6.1,Premium,Plus,Safety Premium Package
Mercedes-Benz C 300,Mercedes-Benz,"Sandershäuser Straße 110,  34123 Kassel, DE",41780.0,Convertible,Used,Yes,59191.0,Automatic,Benzine,Dealer,1991.0,7.0,155.0,Rear,"Alloy wheels (19""), Ambient lighting, Automatically dimming interior mirror, E10-enabled, Emergency tyre, Shift paddles, Sport package, Sport suspension, Summer tyres, Winter package",2200.0,Yes,Part/Full Leather,1.0,unefficient,4.0,190.0,6.9,Premium,Standard,Safety Premium Package
Mercedes-Benz E 350,Mercedes-Benz,"Max-von-Müller-Str. 66,  84056 Rottenburg, DE",68899.0,Convertible,Used,Yes,30000.0,Automatic,Diesel,Dealer,2925.0,7.0,149.0,Rear,"Alloy wheels, Ambient lighting, Automatically dimming interior mirror, Cargo barrier, Shift paddles, Sport package, Sport seats, Sport suspension, Touch screen, Voice Control",1930.0,No,Part/Full Leather,1.0,efficient,2.0,210.0,5.7,Standard,Plus,Safety Premium Package
Mercedes-Benz SL 600,Mercedes-Benz,"Viernheimer Strasse 100,  69469 Weinheim, DE",64890.0,Convertible,Used,No,56744.0,Automatic,Benzine,Dealer,5513.0,5.0,330.0,Rear,"Alloy wheels, E10-enabled, Emergency tyre, Headlight washer system, Shift paddles, Sport package",1950.0,No,Part/Full Leather,2.0,unefficient,14.0,100.0,13.9,Standard,Plus,Safety Premium Package
Mercedes-Benz C 250,Mercedes-Benz,"Helsinkistraße 1,  97424 Schweinfurt, DE",36890.0,Convertible,Used,Yes,59828.0,Automatic,Diesel,Dealer,2143.0,7.0,127.0,Rear,"Alloy wheels (18""), Ambient lighting, Automatically dimming interior mirror, Emergency tyre repair kit, Shift paddles, Sport package, Sport suspension, Summer tyres, Voice Control, Winter package",1770.0,Yes,Cloth,2.0,efficient,4.0,150.0,4.9,Premium,Standard,Safety Premium Package
Mercedes-Benz E 200,Mercedes-Benz,"Meckenheimer Straße 12,  53359 Rheinbach, DE",27980.0,Convertible,Used,No,53800.0,Automatic,Benzine,Dealer,1991.0,6.0,150.0,Rear,"Alloy wheels, Automatically dimming interior mirror, Emergency tyre repair kit, Shift paddles, Sport package, Sport suspension",1705.0,No,Part/Full Leather,2.0,efficient,7.0,135.0,6.5,Standard,Standard,Safety Premium Package
Mercedes-Benz C 400,Mercedes-Benz,"Dieselstr. 1,  84069 Schierling, DE",59899.0,Convertible,Used,Yes,6887.0,Automatic,Benzine,Dealer,2996.0,7.0,185.0,4WD,"Alloy wheels, Automatically dimming interior mirror, Cargo barrier, Emergency tyre repair kit, Shift paddles, Sport suspension, Touch screen, Voice Control",1825.0,No,Part/Full Leather,1.0,unefficient,1.0,245.0,8.1,Standard,Plus,Safety Premium Package
Mercedes-Benz E 300,Mercedes-Benz,"Dieselstr. 1,  84069 Schierling, DE",60899.0,Convertible,Used,Yes,49222.0,Automatic,Diesel,Dealer,1950.0,7.0,148.0,Rear,"Alloy wheels, Ambient lighting, Automatically dimming interior mirror, Cargo barrier, Shift paddles, Sport package, Sport seats, Sport suspension, Touch screen, Voice Control",1875.0,No,Part/Full Leather,2.0,efficient,2.0,180.0,5.6,Standard,Plus,Safety Premium Package
Mercedes-Benz CLK 200,Mercedes-Benz,"Lichterfelder Allee 14,  14513 Teltow, DE",10999.0,Convertible,Used,No,97208.0,Automatic,Benzine,Dealer,1998.0,6.0,230.0,Rear,"All season tyres, Alloy wheels, Automatically dimming interior mirror, Cargo barrier, E10-enabled, Emergency tyre repair kit, Smoker's package, Sport package, Sport seats, Summer tyres, Winter package, Winter tyres",1665.0,Yes,Part/Full Leather,2.0,unefficient,19.0,120.0,9.6,Premium,Standard,Safety Premium Package
Mercedes-Benz E 220,Mercedes-Benz,"Nedderfeld 29,  22529 Hamburg, DE",46450.0,Convertible,Used,No,47862.0,Automatic,Diesel,Dealer,1950.0,7.0,133.0,Rear,"Alloy wheels, Ambient lighting, Automatically dimming interior mirror, Shift paddles, Sport package, Sport seats, Sport suspension, Voice Control",1870.0,Yes,Part/Full Leather,2.0,efficient,4.0,143.0,5.0,Premium,Plus,Safety Premium Package
Mercedes-Benz E 220,Mercedes-Benz,"Av. Laboral, 10,  28021 MADRID, ES",39090.0,Convertible,Used,Yes,81117.0,Automatic,Diesel,Dealer,1950.0,7.0,133.0,Rear,Alloy wheels,1870.0,No,Part/Full Leather,2.0,efficient,4.0,143.0,5.9,Standard,Standard,Safety Standard Package
Mercedes-Benz C 180,Mercedes-Benz,"Otto-Hahn-Straße 13,  25337 Elmshorn, DE",32690.0,Convertible,Used,No,30708.0,Automatic,Benzine,Dealer,1595.0,6.0,135.0,Rear,"Alloy wheels, Shift paddles, Sport package, Sport seats, Sport suspension, Voice Control",1600.0,No,Part/Full Leather,2.0,efficient,5.0,115.0,6.0,Premium,Standard,Safety Premium Package
Mercedes-Benz SL 500,Mercedes-Benz,"Breuershofstrasse 73,  47807 Krefeld, DE",19000.0,Convertible,Used,No,142000.0,Automatic,Benzine,Dealer,4966.0,5.0,247.0,Rear,"Alloy wheels (19""), Automatically dimming interior mirror, Cargo barrier, Catalytic Converter, E10-enabled, Emergency tyre repair kit, Headlight washer system, Ski bag, Smoker's package, Sport package, Sport seats, Sport suspension, Summer tyres, Winter package",1955.0,Yes,Part/Full Leather,2.0,unefficient,20.0,225.0,12.7,Standard,Standard,Safety Premium Package
